"unigram","bigram","freq"
"thought","it",40
"to","and",40
"to","ask",40
"to","spend",40
"until","the",40
"use","the",40
"was","to",40
"way","i",40
"we","just",40
"we","went",40
"were","a",40
"woke","up",40
"youre","a",40
"a","number",39
"am","so",39
"and","see",39
"anyone","else",39
"dont","you",39
"go","on",39
"half","of",39
"has","the",39
"help","me",39
"her","and",39
"is","there",39
"it","had",39
"its","like",39
"join","us",39
"know","it",39
"know","you",39
"more","of",39
"new","year",39
"next","year",39
"nice","to",39
"of","life",39
"that","in",39
"that","makes",39
"thats","not",39
"the","family",39
"the","united",39
"then","you",39
"thing","i",39
"this","will",39
"up","at",39
"us","and",39
"wake","up",39
"was","on",39
"way","of",39
"will","get",39
"work","and",39
"you","the",39
"are","just",38
"as","he",38
"few","days",38
"few","weeks",38
"focus","on",38
"for","sure",38
"for","years",38
"god","is",38
"had","an",38
"i","may",38
"i","only",38
"keep","it",38
"know","about",38
"life","i",38
"my","family",38
"my","name",38
"on","me",38
"one","thing",38
"our","new",38
"out","my",38
"please","follow",38
"said","it",38
"so","glad",38
"so","what",38
"starting","to",38
"sure","you",38
"the","biggest",38
"the","very",38
"then","the",38
"time","with",38
"to","join",38
"too","many",38
"using","the",38
"was","great",38
"we","could",38
"we","want",38
"whats","up",38
"will","come",38
"with","him",38
"with","our",38
"you","feel",38
"your","favorite",38
"a","child",37
"ability","to",37
"all","you",37
"am","going",37
"and","as",37
"and","at",37
"and","thats",37
"ask","for",37
"be","more",37
"even","more",37
"exactly","what",37
"figure","out",37
"for","one",37
"his","own",37
"hit","the",37
"i","actually",37
"i","heard",37
"its","so",37
"its","time",37
"ive","never",37
"love","is",37
"me","of",37
"must","have",37
"no","problem",37
"none","of",37
"pictures","of",37
"quite","a",37
"see","how",37
"some","time",37
"someone","who",37
"thats","why",37
"the","original",37
"the","process",37
"the","st",37
"the","truth",37
"this","blog",37
"thought","i",37
"time","of",37
"to","an",37
"to","become",37
"tonight","at",37
"will","you",37
"wonder","if",37
"work","with",37
"youre","not",37
"about","what",36
"and","make",36
"are","some",36
"are","still",36
"be","an",36
"excited","about",36
"fan","of",36
"get","my",36
"getting","ready",36
"happened","to",36
"he","would",36
"im","trying",36
"in","other",36
"is","something",36
"is","why",36
"just","want",36
"let","the",36
"love","with",36
"much","i",36
"my","day",36
"night","and",36
"not","so",36
"on","monday",36
"one","and",36
"one","who",36
"something","that",36
"thats","the",36
"the","corner",36
"the","girls",36
"the","ground",36
"the","latest",36
"the","little",36
"the","power",36
"the","season",36
"the","weather",36
"the","week",36
"this","point",36
"this","post",36
"to","love",36
"version","of",36
"we","love",36
"were","all",36
"when","your",36
"who","was",36
"with","and",36
"with","no",36
"without","the",36
"you","at",36
"your","heart",36
"a","place",35
"a","quick",35
"a","really",35
"and","go",35
"and","has",35
"and","with",35
"back","from",35
"been","in",35
"best","of",35
"doing","it",35
"end","up",35
"give","a",35
"give","up",35
"good","for",35
"great","to",35
"how","can",35
"i","believe",35
"i","find",35
"i","go",35
"i","needed",35
"it","when",35
"ive","had",35
"just","to",35
"lol","i",35
"made","the",35
"much","as",35
"next","time",35
"no","way",35
"not","that",35
"one","in",35
"our","own",35
"she","said",35
"the","author",35
"the","party",35
"the","street",35
"there","and",35
"thing","that",35
"tired","of",35
"to","call",35
"to","move",35
"up","i",35
"we","would",35
"well","be",35
"whats","your",35
"which","was",35
"wont","be",35
"year","old",35
"you","look",35
"you","make",35
"about","me",34
"access","to",34
"and","be",34
"but","for",34
"but","my",34
"but","now",34
"do","is",34
"dont","be",34
"following","me",34
"for","example",34
"from","our",34
"fun","and",34
"getting","to",34
"i","hear",34
"i","remember",34
"i","wouldnt",34
"is","getting",34
"is","only",34
"it","again",34
"it","makes",34
"its","going",34
"like","me",34
"long","time",34
"love","my",34
"middle","of",34
"my","birthday",34
"my","car",34
"new","years",34
"nothing","to",34
"of","one",34
"once","again",34
"or","something",34
"said","the",34
"see","if",34
"seemed","to",34
"that","if",34
"that","were",34
"the","perfect",34
"there","for",34
"this","i",34
"use","it",34
"we","cant",34
"when","a",34
"when","youre",34
"why","do",34
"why","is",34
"why","the",34
"year","i",34
"you","that",34
"a","game",33
"a","girl",33
"a","month",33
"a","second",33
"about","that",33
"also","a",33
"at","that",33
"believe","in",33
"bunch","of",33
"cant","believe",33
"come","up",33
"dont","need",33
"family","and",33
